Customer Segment,RFM_score,F_quartile,R_quartile,M_quartile,Total Paid,last-to-present,Order ID,Units Sold
Normal,243,4,2,3,365499.2,170,661971175,836
New customer,144,4,1,4,48115.44,19,194176757,72
High paying customer,421,2,4,1,4421715.9,1778,811253488,6790
Normal,343,4,3,3,471502.16,256,688096320,1847
High paying customer,411,1,4,1,5707204.44,485,843498361,8764
Loyal custommer,412,1,4,2,1183334.86,2071,905132520,7681
Loyal custommer,412,1,4,2,1223852.64,2267,866542184,7944
New customer,143,4,1,3,604784.35,22,232196319,905
Loyal custommer,412,1,4,2,966144.48,415,781083571,8841
Normal,434,3,4,4,226310.37,2533,456011426,2769
Loyal custommer,412,1,4,2,1051273.6,398,156158483,9620
Churn customer,444,4,4,4,18454.74,2717,440092408,1978
Normal,432,3,4,2,1227699.9,756,550293433,2910
High paying customer,311,1,3,1,2086658.72,365,429975545,8174
Churn customer,444,4,4,4,110925.66,1645,704921281,727
Churn customer,444,4,4,4,123902.68,1347,896900069,1516
Loyal custommer,412,1,4,2,1188140.46,1165,649356210,7787
Churn customer,444,4,4,4,206440.4,1229,452559745,1340
"Once Loyal, Now Gone",443,4,4,3,305922.9,981,176881444,2005
Loyal custommer,414,1,4,4,72578.07,720,509522140,7779
Normal,423,2,4,3,304771.35,729,810610187,6423
Normal,432,3,4,2,785243.82,2694,418644607,5097
Normal,432,3,4,2,914953.6,2354,928168189,4448
High paying customer,421,2,4,1,3424215.48,546,704361665,5124
Loyal custommer,413,1,4,3,623027.79,2148,588528859,7623
Loyal custommer,412,1,4,2,1263057.24,2015,804263436,8278
High paying customer,421,2,4,1,3513763.66,1370,107651269,5258
Normal,432,3,4,2,1167324,374,284310567,2670
High paying customer,411,1,4,1,2400142.56,477,573699891,9402
Churn customer,444,4,4,4,122023.84,1772,169914996,478
Loyal custommer,412,1,4,2,924071.68,2388,330355727,8456
Normal,433,3,4,3,604369.38,881,251907765,3961
Normal,422,2,4,2,1042369.96,1536,453591859,6766
High paying customer,411,1,4,1,3779712.51,1801,483438193,8959
High paying customer,411,1,4,1,4160832.4,997,695658004,9517
Loyal custommer,412,1,4,2,1487502.42,724,585089194,9749
Loyal custommer,412,1,4,2,1466805.26,1959,755268275,9521
Normal,433,3,4,3,510136,617,957899081,2480
High paying customer,421,2,4,1,3845225.58,898,785364806,5754
Churn customer,444,4,4,4,10833.18,2286,386254251,71
Normal,423,2,4,3,439707.4,996,481432330,5380
Churn customer,444,4,4,4,12816.72,1453,727492606,84
Normal,332,3,3,2,1613268,223,805937564,3690
Churn customer,444,4,4,4,7172.13,1680,524972951,17
High paying customer,421,2,4,1,3059525.6,1577,248099458,6998
Normal,433,3,4,3,319972.95,1780,936411798,3915
Normal,243,4,2,3,652241.94,127,719556272,1546
Churn customer,444,4,4,4,71595.48,953,871553409,876
Normal,434,3,4,4,124129.2,2674,580841004,2616
Normal,434,3,4,4,127782.85,1912,751730763,2693
Churn customer,444,4,4,4,22792.35,2089,374663245,35
Normal,422,2,4,2,1014199.26,526,612856280,6647
Normal,422,2,4,2,1696846.16,850,640295922,6647
High paying customer,411,1,4,1,3374309.6,1156,676592862,7718
Loyal custommer,412,1,4,2,1414569.18,1815,893783557,9271
Normal,233,3,2,3,416238.24,175,687828958,2728
Churn customer,444,4,4,4,208053.2,2274,797310721,815
High paying customer,421,2,4,1,2749550.8,474,360930764,6289
Normal,433,3,4,3,502445.94,526,118086564,3293
Normal,433,3,4,3,504327.2,2070,944490611,4615
Normal,422,2,4,2,1264026.5,2058,208221232,6145
High paying customer,411,1,4,1,1971840.2,1505,443125665,9586
Normal,423,2,4,3,492995.36,645,271649682,6032
Loyal custommer,113,1,1,3,376705.55,18,786318385,7939
Normal,434,3,4,4,191128.6,961,270358788,4028
Loyal custommer,314,1,3,4,75712.95,250,121380746,8115
Normal,423,2,4,3,603553.44,1460,467138516,5523
Normal,422,2,4,2,1240782.4,1547,275062739,6032
Normal,433,3,4,3,714226.98,504,392217338,4681
"Once Loyal, Now Gone",443,4,4,3,580251.44,1001,523899209,2273
Normal,433,3,4,3,458020.38,1615,559417665,2973
New customer,143,4,1,3,484629.2,1,223854434,2356
Normal,422,2,4,2,1148209.18,1530,502356994,7453
High paying customer,421,2,4,1,3923413.17,1925,837608659,5871
Normal,424,2,4,4,61820.58,1045,167232358,6626
High paying customer,411,1,4,1,3956062.53,1137,219451320,9377
Loyal custommer,414,1,4,4,74658.66,2662,590760457,8002
Loyal custommer,412,1,4,2,1076845.12,2514,217188823,9854
High paying customer,421,2,4,1,2988668.76,788,251208674,7084
Loyal custommer,112,1,1,2,1514966.82,98,594991052,9929
Churn customer,444,4,4,4,101615.8,886,743410336,494
Normal,423,2,4,3,260595.4,2112,757653939,5492
Normal,332,3,3,2,1058390.88,202,560502994,4146
High paying customer,411,1,4,1,5121766.65,2442,564097583,7865
Normal,422,2,4,2,901290.06,1474,794320380,5907
High paying customer,421,2,4,1,4437981.07,676,760158479,6641
Normal,433,3,4,3,342693.89,923,946415364,4193
Loyal custommer,413,1,4,3,398532.55,1012,434673488,8399
Normal,432,3,4,2,1811011.7,1297,651704537,2710
"Once Loyal, Now Gone",442,4,4,2,1015236.39,2646,292349469,1559
Churn customer,444,4,4,4,93429.05,2754,730236184,1969
High paying customer,431,3,4,1,1906629.2,1226,194292628,4361
High paying customer,221,2,2,1,4099168.18,134,922564303,6134
Normal,133,3,1,3,759390.66,57,251911199,4977
High paying customer,411,1,4,1,3393546.4,836,834844052,7762
High paying customer,431,3,4,1,3233758.53,1019,544284856,4839
"Once Loyal, Now Gone",443,4,4,3,332629.84,489,921230065,1303
Loyal custommer,412,1,4,2,1354605.24,2616,947073256,8878
Normal,433,3,4,3,550115.52,2308,717134988,5034
High paying customer,411,1,4,1,5639530.53,2495,533314406,8439
High paying customer,421,2,4,1,4776125.69,2233,358669555,7147
Loyal custommer,413,1,4,3,764175.5,1341,635878217,9350
Normal,434,3,4,4,31927.26,1499,601896560,3422
Churn customer,444,4,4,4,199545.28,2158,709081494,1826
Churn customer,444,4,4,4,10841.46,2502,530755364,1162
Loyal custommer,412,1,4,2,936092.48,1035,233709084,8566
High paying customer,431,3,4,1,1895672.31,669,226661098,2911
Normal,434,3,4,4,36536.28,2069,507616698,3916
Normal,433,3,4,3,416793.92,864,140290105,3814
Loyal custommer,413,1,4,3,427666.85,2512,913078296,9013
Normal,423,2,4,3,674804,1048,300813233,6175
Normal,424,2,4,4,65963.1,2260,709268176,7070
Normal,343,4,3,3,390833.68,208,588643443,1531
High paying customer,421,2,4,1,4068760.08,943,549290931,6248
Normal,433,3,4,3,699884.46,1417,136102426,4587
Normal,433,3,4,3,653347.56,2418,585983121,4282
High paying customer,431,3,4,1,2226659.6,1793,315576970,5093
Churn customer,444,4,4,4,7163.31,2057,253719222,11
Loyal custommer,413,1,4,3,661359.16,1601,467045819,8092
Churn customer,444,4,4,4,56655.3,590,653152501,1194
Normal,434,3,4,4,251810.13,1007,897209489,3081
High paying customer,431,3,4,1,3302285.91,1096,828245389,5071
Normal,433,3,4,3,546142.7,2298,305569112,3545
Loyal custommer,413,1,4,3,756656.34,1423,488474309,9258
Churn customer,444,4,4,4,21626.94,1967,702763926,2318
Normal,424,2,4,4,55326.9,2469,875220096,5930
Normal,434,3,4,4,252954.35,1924,577530944,3095
Loyal custommer,413,1,4,3,390133.9,526,217859160,8222
Normal,432,3,4,2,1055568.78,675,512714612,2502
High paying customer,411,1,4,1,5500770.87,2319,952140700,8447
Normal,423,2,4,3,478120.5,1385,886033475,5850
Loyal custommer,412,1,4,2,1437533.86,2245,240672957,9331
Churn customer,444,4,4,4,128076.16,873,470503079,1172
Normal,422,2,4,2,1131685.86,1184,210591018,7417
Normal,334,3,3,4,22970.46,207,208208787,2462
Normal,433,3,4,3,510554.84,1871,527079236,3314
Normal,422,2,4,2,1112621.32,1987,515771901,7222
High paying customer,311,1,3,1,1899433.8,270,905036389,9234
Loyal custommer,412,1,4,2,1595614.9,1948,975320136,7757
Churn customer,444,4,4,4,153443.76,387,286906945,996
"Once Loyal, Now Gone",443,4,4,3,537065.97,2541,123081052,1273
High paying customer,411,1,4,1,3913029.75,904,834443652,9275
Normal,434,3,4,4,43123.26,748,600515115,4622
High paying customer,421,2,4,1,2615767.6,494,572911107,5983
"Once Loyal, Now Gone",443,4,4,3,262272,871,823505389,2400
Loyal custommer,412,1,4,2,967018.72,1683,723061597,8849
Normal,432,3,4,2,1052361.2,862,443347108,5116
Churn customer,444,4,4,4,38248,1989,160722959,350
Normal,433,3,4,3,537494.1,1449,483551919,2613
"Once Loyal, Now Gone",443,4,4,3,522270.42,1163,258216321,802
"Once Loyal, Now Gone",443,4,4,3,370465.7,1829,894569337,1801
Churn customer,444,4,4,4,214953.76,636,751897275,1967
Loyal custommer,412,1,4,2,1204595.14,846,541861855,7819
Churn customer,444,4,4,4,67393.92,1938,110743319,264
Normal,423,2,4,3,432596.89,2486,367381799,5293
High paying customer,421,2,4,1,3478763.82,493,653909957,5342
Normal,422,2,4,2,1019081.82,1082,141685283,6679
Normal,434,3,4,4,35426.01,1978,915020644,3797
Normal,344,4,3,4,61087.52,283,151092755,559
Normal,244,4,2,4,82657.9,138,127374303,1742
Loyal custommer,413,1,4,3,713666.36,2100,160751283,8732
High paying customer,421,2,4,1,4798115.28,2013,749752795,7368
Normal,333,3,3,3,302319.27,257,594699656,3699
Churn customer,444,4,4,4,114983.6,1527,626453149,263
High paying customer,421,2,4,1,4374495.42,818,502860820,6546
Normal,424,2,4,4,51053.76,399,609405457,5472
High paying customer,431,3,4,1,2145146.7,1315,181413733,3210
Normal,432,3,4,2,1192261.14,1091,517514264,2826
Normal,423,2,4,3,468885.01,988,743597018,5737
Normal,422,2,4,2,1146052.34,1558,570482957,7439
High paying customer,411,1,4,1,4158569.73,1874,351109158,9857
Churn customer,444,4,4,4,1634.6,1618,634866702,20
Normal,342,4,3,2,1407916.02,244,797788369,2162
Churn customer,444,4,4,4,74782.95,1920,917545354,915
Loyal custommer,312,1,3,2,1321342.8,209,813456332,8660
Normal,434,3,4,4,196490.45,1463,981154048,4141
Normal,344,4,3,4,73238.4,345,957926118,480
High paying customer,431,3,4,1,1885252.95,1704,833340728,2895
Normal,342,4,3,2,1096631.07,247,147750937,1641
Normal,422,2,4,2,860398.62,1787,597105491,5639
Normal,222,2,2,2,878097.9,136,972981679,5755
Normal,322,2,3,2,962779.8,182,387998759,6310
Churn customer,444,4,4,4,164684.96,2381,736452472,1507
Normal,432,3,4,2,1697405.8,1178,340236985,2540
Churn customer,444,4,4,4,53428.7,2498,511155498,1126
Normal,332,3,3,2,1206963.84,227,328721082,4728
Normal,423,2,4,3,491524.22,1855,559157598,6014
Normal,424,2,4,4,68668.8,535,571057164,7360
High paying customer,421,2,4,1,3718922.55,2147,263943374,5565
"Once Loyal, Now Gone",443,4,4,3,458711,2240,647005736,2230
Normal,433,3,4,3,365760.16,2060,349870622,3347
Normal,324,2,3,4,62156.46,314,708320605,6662
High paying customer,421,2,4,1,3528906.99,1701,456527268,5419
Normal,423,2,4,3,470029.23,951,553107821,5751
"Once Loyal, Now Gone",442,4,4,2,1444131.47,2730,448946702,2161
Loyal custommer,413,1,4,3,365934.4,1078,342450988,7712
Churn customer,444,4,4,4,195607.56,2584,934206378,1282
Loyal custommer,412,1,4,2,856755.2,2087,382495725,7840
High paying customer,411,1,4,1,3267116.16,812,969136035,7744
High paying customer,421,2,4,1,2865846,1150,851972854,6555
High paying customer,421,2,4,1,2495100.4,387,636170041,5707
Churn customer,444,4,4,4,146530.72,2504,996754205,574
Normal,423,2,4,3,351319.8,2368,263882005,7404
Normal,434,3,4,4,182018.2,2367,985039174,3836
High paying customer,431,3,4,1,2215729.6,746,367279660,5068
Normal,424,2,4,4,55952.01,1490,454501664,5997
Normal,434,3,4,4,30145.23,927,662486159,3231
Churn customer,444,4,4,4,153243.75,2293,129875409,1875
Loyal custommer,412,1,4,2,1220771.44,2689,908140885,7924
Normal,433,3,4,3,723858.3,1741,876394689,3519
High paying customer,331,3,3,1,2887465.14,360,597169005,4434
Normal,222,2,2,2,878097.9,119,728255212,5755
High paying customer,421,2,4,1,3118547.6,1315,711566293,7133
Normal,423,2,4,3,530918.08,1516,973355901,6496
Normal,422,2,4,2,1027888.32,2510,154019582,6672
High paying customer,411,1,4,1,3843862.4,2758,889084756,8792
Normal,422,2,4,2,1406337.52,1952,720515859,5509
High paying customer,411,1,4,1,4101810.4,1233,765101468,9382
Loyal custommer,412,1,4,2,1462784.46,1076,747327220,9587
Loyal custommer,412,1,4,2,1463724.06,2417,386319911,9501
Normal,422,2,4,2,798399.68,2318,848156821,7306
Churn customer,444,4,4,4,12726.12,1208,739324367,1364
High paying customer,411,1,4,1,2526250.88,1870,314782178,9896
Normal,433,3,4,3,418433.12,1712,641705691,3829
Normal,433,3,4,3,449653.26,664,123897731,2947
Normal,433,3,4,3,696351.2,638,228592717,4520
High paying customer,431,3,4,1,2936957.1,1488,198517215,4510
High paying customer,431,3,4,1,2635446.87,635,641537463,4047
Normal,432,3,4,2,1737502,567,425901591,2600
New customer,143,4,1,3,339481.16,9,506050717,508
Normal,422,2,4,2,1419947.1,1624,444806230,6903
Normal,332,3,3,2,1253435.19,241,181953608,2971
Normal,423,2,4,3,271081.85,1437,152630841,5713
"Once Loyal, Now Gone",443,4,4,3,408312.97,1082,871147000,611
Loyal custommer,413,1,4,3,632345.01,568,976874530,7737
New customer,143,4,1,3,516572.71,3,419542396,773
Loyal custommer,414,1,4,4,84921.66,672,665817677,9102
High paying customer,421,2,4,1,4916462.39,2330,422301852,7357
Normal,432,3,4,2,939020.5,650,569864976,4565
High paying customer,411,1,4,1,2088445.68,837,903681123,8181
Normal,122,2,1,2,1059932.8,69,632659566,6880
Loyal custommer,414,1,4,4,80368.62,2403,707718932,8614
Normal,422,2,4,2,1703738.72,864,582949864,6674
Churn customer,444,4,4,4,72452.64,2301,264636456,663
Normal,233,3,2,3,715013.2,127,675868880,3476
High paying customer,411,1,4,1,4190562,822,765575253,9585
High paying customer,311,1,3,1,2313092.08,204,361311852,9061
Normal,424,2,4,4,245126.7,2721,636134421,5166
Normal,432,3,4,2,910583.76,1910,786641538,3567
Normal,422,2,4,2,1088742.02,746,173992383,7067
Normal,422,2,4,2,851951.8,1039,159794270,5530
Normal,422,2,4,2,1526499.7,2322,917465960,7421
Normal,344,4,3,4,228870,255,536095750,1500
Normal,422,2,4,2,875368.92,2561,750760877,5682
High paying customer,411,1,4,1,1877012.5,2367,635776078,9125
Loyal custommer,413,1,4,3,687022.38,2761,773411166,8406
Normal,422,2,4,2,1148363.24,2335,992992675,7454
Normal,433,3,4,3,714376.22,1630,691383635,4637
High paying customer,121,2,1,1,5044101.96,92,649896085,7548
High paying customer,411,1,4,1,5523919.82,2533,557948672,8266
High paying customer,321,2,3,1,5015366.35,307,823286092,7505
Normal,432,3,4,2,1654230.69,1210,315674388,3921
"Once Loyal, Now Gone",443,4,4,3,333385.84,1819,389606797,2164
Churn customer,444,4,4,4,133256.16,1504,162345588,522
Normal,343,4,3,3,612162.39,357,785890948,1451
Normal,432,3,4,2,1551289.53,1704,519578492,3677
"Once Loyal, Now Gone",442,4,4,2,1297112.07,1330,853883445,1941
New customer,144,4,1,4,51957.75,42,529504811,1095
"Once Loyal, Now Gone",443,4,4,3,345792.51,1608,930013549,531
Normal,424,2,4,4,57957.96,2216,427941358,6212
Normal,432,3,4,2,1255966.53,2604,986117637,2977
Normal,422,2,4,2,1026347.72,445,743769109,6662
High paying customer,411,1,4,1,3485655.18,1615,210154569,8262
High paying customer,431,3,4,1,2097031.26,947,525321424,3138
Normal,344,4,3,4,110154.24,307,351383388,1008
High paying customer,411,1,4,1,3346431.48,1629,668280589,7932
Churn customer,444,4,4,4,247366.32,2535,901189887,969
"Once Loyal, Now Gone",443,4,4,3,621022.08,749,457291162,1472
Normal,433,3,4,3,604140.9,1760,819992768,2937
Loyal custommer,412,1,4,2,1067337.76,1106,967689788,9767
Normal,423,2,4,3,290773.6,1999,786278474,6128
High paying customer,421,2,4,1,3118610.88,2413,609952628,7392
High paying customer,411,1,4,1,5398285.06,1812,404799687,8078
"Once Loyal, Now Gone",443,4,4,3,284409.12,2451,299886262,1864
High paying customer,421,2,4,1,2649469.2,2602,229105556,6280
Normal,424,2,4,4,65020.77,1003,540980374,6969
Churn customer,444,4,4,4,78297.34,786,462797629,958
Churn customer,444,4,4,4,70455.63,2204,633312737,167
Normal,333,3,3,3,430563.2,359,545059049,3940
Normal,423,2,4,3,267238.4,2427,396748769,5632
Normal,343,4,3,3,561957.48,258,170931661,1332
High paying customer,411,1,4,1,5193126.17,1159,161592853,7771
High paying customer,421,2,4,1,3860372.88,1078,253029572,5928
Normal,424,2,4,4,55550.82,2633,131612622,5954
Normal,432,3,4,2,1252140.8,631,385080945,2864
Loyal custommer,412,1,4,2,814275.99,1967,544741475,9963
Normal,433,3,4,3,544910.22,968,407048451,3537
Normal,422,2,4,2,824626.88,1361,359346759,7546
Normal,433,3,4,3,456244,619,765083873,4175
High paying customer,411,1,4,1,4204133.85,750,669470202,9965
Normal,422,2,4,2,1078574.06,1699,227621114,7001
Loyal custommer,212,1,2,2,1066135.68,101,130172383,9756
Normal,244,4,2,4,3389.32,139,688698422,22
High paying customer,421,2,4,1,2763379.5,1229,953587377,6550
Churn customer,444,4,4,4,79146.6,1618,189924275,1668
Churn customer,444,4,4,4,106653.42,905,472900760,699
High paying customer,421,2,4,1,4771415.67,2053,342314517,7327
High paying customer,421,2,4,1,3977543.04,1714,717036712,5952
High paying customer,421,2,4,1,3386943.21,2069,445273578,5201
Normal,432,3,4,2,1555994.8,1911,620550572,3559
High paying customer,411,1,4,1,3653989.29,2362,348029983,8661
Normal,324,2,3,4,47881.56,222,843012988,5132
Normal,233,3,2,3,329535.36,155,779377686,4032
High paying customer,411,1,4,1,2138991.12,1679,302442729,8379
Churn customer,444,4,4,4,185448.16,2060,761594855,1697
Normal,432,3,4,2,1632714.3,1129,662623488,3870
High paying customer,411,1,4,1,5479145.73,721,611577403,8199
High paying customer,411,1,4,1,5707204.44,415,764592492,8764
Normal,433,3,4,3,538454.82,1477,138025033,3529
Normal,433,3,4,3,443846.86,1583,621291720,2881
High paying customer,431,3,4,1,2057557.53,962,640560281,4877
High paying customer,411,1,4,1,2428478.64,2731,557141864,9513
High paying customer,421,2,4,1,4766857.2,1678,314604508,7320
Normal,434,3,4,4,44700.03,2732,875351417,4791
Loyal custommer,413,1,4,3,627931.59,1581,386009633,7683
Churn customer,444,4,4,4,163120.1,1112,224727761,793
Loyal custommer,412,1,4,2,815093.29,2245,192892301,9973
High paying customer,121,2,1,1,2190452.88,83,336292207,5192
Loyal custommer,414,1,4,4,76272.75,2501,653040921,8175
"Once Loyal, Now Gone",443,4,4,3,729249.6,1950,339727151,1668
"Once Loyal, Now Gone",443,4,4,3,393092.7,2419,962560546,1911
High paying customer,431,3,4,1,2016803.6,1195,341730868,4613
Normal,434,3,4,4,249276.5,1308,793195569,3050
High paying customer,211,1,2,1,5255264.7,168,601202619,8070
Loyal custommer,412,1,4,2,1472091.84,1322,257806909,9648
High paying customer,311,1,3,1,4129037.43,229,863202941,9787
Normal,422,2,4,2,1383949.6,980,791890084,6728
Churn customer,444,4,4,4,222604.16,1032,973167932,872
Normal,334,3,3,4,152694.1,342,265185773,3218
Normal,343,4,3,3,384213.9,288,971038043,590
Normal,133,3,1,3,276587.68,76,923160398,2531
Normal,432,3,4,2,780294.12,1458,630828797,5114
High paying customer,411,1,4,1,2103251.92,1302,706805264,8239
Churn customer,444,4,4,4,152274.84,1166,443671119,998
Churn customer,444,4,4,4,7137.45,625,841241014,765
Normal,432,3,4,2,1769785.6,976,946921765,4048
High paying customer,411,1,4,1,2007426.3,539,914770448,9759
Normal,433,3,4,3,278454.11,1273,688270556,3407
High paying customer,411,1,4,1,3420262.23,400,235464751,8107
Normal,434,3,4,4,219551.15,642,131810891,4627
Normal,432,3,4,2,1576980.4,2255,278062093,3607
Loyal custommer,412,1,4,2,884949.44,1495,931559789,8098
Normal,424,2,4,4,70133.61,647,461197745,7517
Normal,434,3,4,4,43804.35,2061,905054843,4695
Churn customer,444,4,4,4,188452.14,1936,509361636,282
Normal,422,2,4,2,1414506.48,661,530702579,5541
High paying customer,421,2,4,1,3496997.7,516,718927133,5370
Normal,432,3,4,2,1407846.93,2367,833274638,3337
High paying customer,431,3,4,1,1933735.6,1551,806041419,4423
Loyal custommer,412,1,4,2,1436998.44,2611,228947198,9418
Normal,423,2,4,3,629671.36,2254,150975167,5762
High paying customer,421,2,4,1,2785739.67,2089,730184257,6603
"Once Loyal, Now Gone",443,4,4,3,503347.9,1898,125349128,2447
Normal,422,2,4,2,1532701.12,544,872145211,6004
Normal,423,2,4,3,323419.2,2764,836226356,6816
High paying customer,421,2,4,1,4505070.78,1132,224647080,6918
High paying customer,411,1,4,1,5302722.45,1690,691259610,7935
Normal,432,3,4,2,1205176.88,2556,344468438,4721
Normal,423,2,4,3,329635.15,997,820344245,6947
Normal,344,4,3,4,85162.66,329,582491528,1042
Normal,432,3,4,2,1457624.8,1063,501498258,3334
High paying customer,411,1,4,1,3863099.2,468,515608394,8836
Normal,432,3,4,2,1420900,2281,260623872,3250
Normal,422,2,4,2,1090744.8,2635,803414571,7080
Normal,422,2,4,2,1056158.76,2681,382594001,6922
Normal,432,3,4,2,1115899.05,911,916976726,2645
Normal,423,2,4,3,262873,2430,948075759,5540
Loyal custommer,414,1,4,4,92908.14,2562,665786778,9958
Normal,434,3,4,4,167688.3,461,443544518,3534
Normal,424,2,4,4,52630.53,2339,272425591,5641
New customer,142,4,1,2,863470,31,574925124,1975
"Once Loyal, Now Gone",442,4,4,2,1222321.17,892,384976232,1877
Normal,432,3,4,2,993119.6,1764,812632358,4828
High paying customer,411,1,4,1,2444816.56,2040,507973754,9577
Normal,424,2,4,4,252196.75,1565,584296977,5315
Normal,433,3,4,3,601775.52,1225,158673751,3944
Normal,422,2,4,2,1652682.72,1046,167468392,6474
Normal,244,4,2,4,61352.85,176,783626306,1293
Normal,434,3,4,4,33420.06,1357,609939754,3582
Normal,122,2,1,2,992762.64,34,608969438,6444
High paying customer,331,3,3,1,1993852.14,289,252045524,4726
Churn customer,444,4,4,4,15041.65,811,910886180,317
Loyal custommer,413,1,4,3,770877.36,2084,386116921,9432
Normal,432,3,4,2,1763476.68,1823,760280358,2708
"Once Loyal, Now Gone",442,4,4,2,1428754.74,1658,651432454,2194
Normal,333,3,3,3,542137.14,297,486461150,3519
Loyal custommer,412,1,4,2,1303039.48,488,810752236,8458
"Once Loyal, Now Gone",443,4,4,3,402554.9,1083,459894835,1957
High paying customer,431,3,4,1,2582195.28,1795,829356467,3864
"Once Loyal, Now Gone",443,4,4,3,529449.2,807,477633464,1211
Normal,422,2,4,2,880691.76,2646,489848029,5772
Normal,433,3,4,3,357650.48,979,700304019,4376
Churn customer,444,4,4,4,44061.16,1087,406564366,286
Normal,322,2,3,2,1134805.96,228,921216762,7366
Normal,433,3,4,3,257531.23,2626,918026006,3151
High paying customer,411,1,4,1,4019179.6,2411,164774167,9193
New customer,142,4,1,2,1436569.26,29,624398362,2206
Churn customer,444,4,4,4,93998,1200,313668096,215
Loyal custommer,412,1,4,2,1244188.56,2303,923922574,8076
High paying customer,421,2,4,1,3072624.87,2619,910233867,7283
Normal,344,4,3,4,11886.42,195,629734456,1274
Normal,434,3,4,4,42610.11,2663,879845082,4567
Normal,434,3,4,4,42152.94,1592,932966983,4518
High paying customer,411,1,4,1,3859871.61,1462,263854110,9149
Normal,122,2,1,2,1784151.92,64,479950892,6989
Churn customer,444,4,4,4,144195.7,1141,243144452,701
Churn customer,444,4,4,4,185995.02,578,162280356,1219
High paying customer,421,2,4,1,4246855.85,413,188351857,6355
High paying customer,431,3,4,1,2958431.29,1236,100619590,4427
Churn customer,444,4,4,4,102244.23,1537,853036296,1251
Churn customer,444,4,4,4,219073.32,1096,533256900,1422
Normal,423,2,4,3,538682.43,1268,662294757,6591
High paying customer,311,1,3,1,1985823.12,282,691360461,7779
Normal,432,3,4,2,1220238.4,1254,630219399,4780
High paying customer,421,2,4,1,2324613.9,1812,595922315,5510
Loyal custommer,412,1,4,2,1408771.14,892,559607779,9233
Churn customer,444,4,4,4,180044.4,2360,771561944,1180
Normal,423,2,4,3,568840.8,2265,861976850,6960
High paying customer,311,1,3,1,5399182.11,246,652635800,8291
High paying customer,411,1,4,1,5493179.4,1069,571161448,8220
High paying customer,411,1,4,1,2238805.6,1229,577245986,8770
Best customer,111,1,1,1,3583291.2,65,367898499,8196
Churn customer,444,4,4,4,1336.54,1226,129902875,2
Churn customer,444,4,4,4,37865.1,1532,797817552,798
Normal,423,2,4,3,525523.9,456,783440911,6430
Loyal custommer,414,1,4,4,84744.39,1934,787504994,9083
High paying customer,411,1,4,1,3358570.4,1852,546051681,7682
Normal,432,3,4,2,782008.56,2277,380154693,5076
Normal,424,2,4,4,65813.82,625,861943376,7054
Normal,433,3,4,3,676015.28,1582,409112679,4388
Normal,423,2,4,3,545139.1,2239,827541148,6670
Normal,422,2,4,2,1383872.88,2506,980381143,5421
High paying customer,411,1,4,1,3985952.4,2158,232967507,9117
High paying customer,411,1,4,1,1886886.1,2764,127467000,9173
Churn customer,444,4,4,4,147544.86,522,591209781,967
Normal,422,2,4,2,814053.04,2671,937700545,5284
"Once Loyal, Now Gone",443,4,4,3,418914.48,1778,894535005,1641
Normal,434,3,4,4,219124.1,2201,146375501,4618
Churn customer,444,4,4,4,97707.5,2184,454550588,475
"Once Loyal, Now Gone",443,4,4,3,680720.4,2498,845738112,1557
Normal,434,3,4,4,39904.41,1709,441688430,4277
"Once Loyal, Now Gone",443,4,4,3,365936.4,1080,820965659,837
Loyal custommer,412,1,4,2,1062310.88,2486,282171666,9721
Loyal custommer,413,1,4,3,663238.95,924,543349730,8115
High paying customer,421,2,4,1,2619093.12,2033,458658874,6208
Loyal custommer,412,1,4,2,1569696.7,1631,735189044,7631
Normal,433,3,4,3,525485.52,1120,305332219,3444
Normal,334,3,3,4,171579.2,188,366429936,3616
Normal,244,4,2,4,134532.56,173,562788665,527
Normal,433,3,4,3,562319,1357,427121675,3650
Loyal custommer,213,1,2,3,632835.39,147,636312091,7743
Normal,433,3,4,3,727348.86,835,757820451,4767
High paying customer,411,1,4,1,3478483.05,1879,815651452,8245
Normal,433,3,4,3,423256.92,1596,962800014,2774
Churn customer,444,4,4,4,67141.75,2681,948129403,1415
High paying customer,431,3,4,1,2008819.62,1734,303303182,3006
Normal,424,2,4,4,51445.62,1120,895663249,5514
Churn customer,444,4,4,4,26396.34,2475,959445750,173
High paying customer,421,2,4,1,2665079.13,1836,280740869,6317
Churn customer,444,4,4,4,101302.56,1384,919133651,927
High paying customer,411,1,4,1,6294435.13,2235,367328155,9419
Loyal custommer,413,1,4,3,744887.22,443,450119149,9114
Churn customer,444,4,4,4,75208.25,2766,770144021,1585
High paying customer,421,2,4,1,4338408.84,1018,198997008,6492
"Once Loyal, Now Gone",443,4,4,3,541284.87,1849,555694758,1283
Loyal custommer,413,1,4,3,461024.2,1323,974988830,9716
High paying customer,411,1,4,1,3314850.4,1435,457852494,7582
Loyal custommer,413,1,4,3,377464.75,2536,425547969,7955
Normal,432,3,4,2,1083408.32,2597,402792966,4244
Normal,122,2,1,2,1078265.94,89,146349751,6999
High paying customer,411,1,4,1,6483446.76,1285,734318292,9956
Normal,422,2,4,2,1599839.76,1605,380733191,6267
"Once Loyal, Now Gone",443,4,4,3,294672.8,1389,371387517,674
High paying customer,331,3,3,1,2164526.53,305,240787541,3239
"Once Loyal, Now Gone",443,4,4,3,572039.12,1594,372232949,856
